Title,API Title,Authors,Publisher,Published Date,Description,Page Count,Print Type,Categories,Average Rating,Ratings Count,Language
The Year We Learned to Fly,The Year We Learned to Fly,['Jacqueline Woodson'],Penguin,2022-01-04,"Jacqueline Woodson and Rafael López's highly anticipated companion to their #1 New York Times bestseller The Day You Begin illuminates the power in each of us to face challenges with confidence. On a dreary, stuck-inside kind of day, a brother and sister heed their grandmother’s advice: “Use those beautiful and brilliant minds of yours. Lift your arms, close your eyes, take a deep breath, and believe in a thing. Somebody somewhere at some point was just as bored you are now.” And before they know it, their imaginations lift them up and out of their boredom. Then, on a day full of quarrels, it’s time for a trip outside their minds again, and they are able to leave their anger behind. This precious skill, their grandmother tells them, harkens back to the days long before they were born, when their ancestors showed the world the strength and resilience of their beautiful and brilliant minds. Jacqueline Woodson’s lyrical text and Rafael Lopez’s dazzling art celebrate the extraordinary ability to lift ourselves up and imagine a better world.",21.0,BOOK,['Juvenile Fiction'],,,en
My Side of the Mountain,My Side of the Mountain,['Jean Craighead George'],Penguin,1999-09-01,"""Should appeal to all rugged individualists who dream of escape to the forest.""—The New York Times Book Review Sam Gribley is terribly unhappy living in New York City with his family, so he runs away to the Catskill Mountains to live in the woods—all by himself. With only a penknife, a ball of cord, forty dollars, and some flint and steel, he intends to survive on his own. Sam learns about courage, danger, and independence during his year in the wilderness, a year that changes his life forever. “An extraordinary book . . . It will be read year after year.” —The Horn Book",193.0,BOOK,['Juvenile Fiction'],,,en
Totally Awesome Mazes and Puzzles: Over 200 Brain-bending Challenges,Totally Awesome Mazes and Puzzles,"['William Potter', ""Becky Wilson (Children's author)""]",Parragon,2016-07-19,"Complete wordsearches, number puzzles, dot-to-dots, and matching games. Then journey your way through 100 twisty turny mazes!",0.0,BOOK,['Maze puzzles'],,,en
Baby Aviva Orangutan Diva: A Jungle Quest to Discover Inner Strength,Baby Aviva Orangutan Diva,['Hans Kullberg'],,2021-04-29,"A beautifully illustrated children's book about conquering fears, teamwork, overcoming long odds, finding inner strength and staying true to one's self. Journey through the Jungle where Baby Aviva's bravery and ingenuity saves her family and friends from the perilous fate of hunger. Aviva the Orangutan Diva's quest for golden bananas leads her to encounter dangerous obstacles, a challenge only a fearless heroine would accept. In a show of female empowerment, Aviva teams up with her friend Sofia the Elephant to conquer the impossible, swinging off cliffs and traversing treacherous waters. Soar through the treetops as Aviva sings, dances and charms her way with friends and foes alike, even captivating the fascination of the most fearsome beast in the jungle, Tito the Tiger. Dancing to her melodic tunes, Tito moves to the rhythm and revels with glee, swaying to the music with Baby Aviva the Orangutan Diva. Befriending a potential adversary, Aviva proves that even the most challenging obstacles can be overcome with bravery, creativity, teamwork and a focus on staying true to one's own personal strengths and values. By showcasing her talents and harnessing her courage, Aviva is able to save the day and make new friends along the way. Based on a true story, this fun-loving, rhyming children's book about animals will bring joy, smiles and laughter to your child's story time while delivering an important, lifelong lesson. Great gift for kids seeking to overcome fears, adapt to new environments and conquer their toughest challenges in life. By remaining true to own's most authentic self and finding strength from within, almost anything in life can be possible.",36.0,BOOK,['Juvenile Fiction'],,,en
"Let’s Go to Sleep, Little Sheep (2) (My First Baby Books)",,,,,,,,,,,
Yana and Nonnie: Mermaids at Play,,,,,,,,,,,
What are you thinking?,What Are You Thinking?,['Basil G. Phillips'],Xulon Press,2011-07,,234.0,BOOK,[],,,en
The Rat Cult Tome of Short Whiskered Tails,,,,,,,,,,,
"Lenny Tradat, Knows Where It’s At: Quest for a gift",,,,,,,,,,,
OSV Kids Stations of the Cross,OSV Kids Stations of the Cross,['Osv Kids'],,2022-02-14,"OSV Kids Stations of the Cross helps children understand and connect with the Passion of Christ. Perfect for schools, parishes, and families, this wonderfully illustrated booklet includes age-appropriate descriptions of each Station, prayers, and questions for reflection and discussion. This beautiful, ancient devotion allows children to understand the strength and mercy of God, to praise and thank Jesus for giving his life for us, and, ultimately, to find great hope in the redemption of the world through his holy cross. As children walk with Jesus in OSV Kids Stations of the Cross, they begin to see how he walks with them at home, at school, and in every moment of their lives.",32.0,BOOK,[],,,en
Sonic the Hedgehog: The Official Coloring Book,Sonic the Hedgehog: the Official Coloring Book,['Penguin Young Readers Licenses'],,2022-10-25,,0.0,BOOK,[],,,en
Como van a la escuela los dinosaurios? (Spanish Edition),How Do Dinosaurs Go to School? Como Van a la Escuela Los Dinosaurios?,['Jane Yolen'],Perfection Learning,2010,Translation of: How do dinosaurs go to school?,0.0,BOOK,[],,,es
Magic Trash: A Story of Tyree Guyton and His Art,Magic Trash,['J. H. Shapiro'],Charlesbridge,2015-01-06,"Vacant lots. Abandoned houses. Trash--lots of trash. Heidelberg Street was in trouble! Tyree Guyton loved his childhood home--that's where his grandpa Sam taught him to ""paint the world."" So he wanted to wake people up... to make them see Detroit's crumbling communities. Paintbrush in hand, Tyree cast his artistic spell, transforming everyday junk into magic trash. Soon local kids and families joined Tyree in rebuilding their neighborhood, discovering the healing power of art along the way. This picture book biography of Tyree Guyton, an urban environmental artist, shows how he transformed his decaying, crime-ridden neighborhood into the Heidelberg Project, an interactive sculpture park. The story spans from Tyree's childhood in 1950s Detroit to his early efforts to heal his community through art in the 1980s. Tyree's awards include Michigan Artist of the Year and International Artist. MAGIC TRASH offers strong themes of working together, the power of art, and the importance of inspiring community--especially kids--to affect action. The Heidelberg Project is internationally recognized for providing arts education to children and adults and for the ongoing development of several houses on Heidelberg Street. Not only does the Heidelberg Project prove that when a community works together it can rebuild itself, but it also addresses the issues of recycling, environmentalism, and community on a global level.",35.0,BOOK,['Juvenile Nonfiction'],,,en
"World of Eric Carle, My First Library 12 Board Book Set - First Words, Alphabet, Numbers, and More! Baby Books - PI Kids",Baby's First Library - ABC,['YoYo Books YoYo Books'],YoYo Books USA,2021-04-20,"Part of a beautiful set of board books, the numbers book will delight children as they begin their learning process. The illustrations are in vivid colors that will ultimately enhance their attention and make learning simpler. Yound children will want to flip through this book and others in the series time and time again!",24.0,BOOK,['Juvenile Nonfiction'],,,en
Buffalo Fluffalo (A Buffalo Fluffalo Story),Buffalo Fluffalo,['Bess Kalb'],Random House Studio,2024-01-02,"THE NATIONAL BESTSELLER • Introducing a sweet and silly buffalo who tries to bluff and fluff his way into being bigger than he really is. This laugh-out-loud story by an Emmy-nominated comedy writer shows it’s okay to be yourself. I’m the Buffalo Fluffalo I heave and I huffalo Leave me alone because I’ve had enuffalo. Buffalo Fluffalo arrives on the scene puffed up with self-importance. Stomping around and raising billows of dust, Buffalo Fluffalo proclaims his superiority to the other creatures—the ram, the prairie dog, and the crow—who just want to be his friend. So Buffalo Fluffalo, who has had enuffalo, heads off to grumble to himself. Suddenly, a rain shower pours down from the clouds and—what’s this? All of his fluffalo is a soggy mess! There Fluffalo stands, a drenched pip-squeak without his disguise. The other animals, who could see through Fluffalo’s bravado from the start, circle around to comfort him. As prairie dog says with a smile in his eyes, You’re great how you are, no matter your size. Readers will find Buffalo Fluffalo’s insecurity endearing and will be moved to reassure him. This humorous and delightful book encourages self-acceptance with a lighthearted touch.",41.0,BOOK,['Juvenile Fiction'],,,en
The Best Christmas Pageant Ever: An Award-Winning Holiday Classic of Laughter and Christmas Spirit―Now a Major Motion Picture from Lionsgate (The Best Ever),The Best Christmas Pageant Ever,['Barbara Robinson'],"Samuel French, Inc.",1983,"The six mean Herdman kids lie, steal, smoke cigars (even the girls) and then become involved in the community Christmas pageant.",60.0,BOOK,['Drama'],4.0,5.0,en
Richard Scarry's Super Silly Seek and Find!,Richard Scarry's Super Silly Seek and Find!,['Richard Scarry'],Golden Books,2021-07-13,"Keep little ones busy with this fun-filled Busytown Seek and Find board book, featuring Huckle Cat, Lowly Worm, Roger Rhino, and more! Richard Scarry's Busytown is a wonderful place, with so many things to see and do! Now children ages two to five can join the fun with this Super Silly Seek and Find board book! Kids can search the busy full-color pages for their favorite characters and tons of hidden objects! A great way to introduce children to Richard Scarry's Busytown.",9.0,BOOK,['Juvenile Fiction'],,,en
Eloise: The Absolutely Essential 60th Anniversary Edition,Eloise,['Kay Thompson'],Simon and Schuster,2015-10-27,Accompanying book published: New York: Little Simon.,64.0,BOOK,['Juvenile Fiction'],,,en
Tar Beach,Tar Beach,['Faith Ringgold'],Knopf Books for Young Readers,2020-08-18,"CORETTA SCOTT KING AWARD WINNER • CALDECOTT HONOR BOOK • A NEW YORK TIMES BEST ILLUSTRATED BOOK Acclaimed artist Faith Ringgold seamless weaves fiction, autobiography, and African American history into a magical story that resonates with the universal wish for freedom, and will be cherished for generations. Cassie Louise Lightfoot has a dream: to be free to go wherever she wants for the rest of her life. One night, up on “tar beach,” the rooftop of her family’s Harlem apartment building, her dreams come true. The stars lift her up, and she flies over the city, claiming the buildings and the city as her own. As Cassie learns, anyone can fly. “All you need is somewhere to go you can’t get to any other way. The next thing you know, you’re flying among the stars.”",19.0,BOOK,['Juvenile Fiction'],,,en
Hands Are Not for Hitting (Board Book) (Best Behavior Series),Hands Are Not for Hitting,['Martine Agassi'],Free Spirit Publishing,2002-02-15,"It’s never too soon for children to learn that violence is never okay, hands can do many good things, and everyone is capable of positive, loving actions. In this bright, inviting, durable board book, simple words and full-color illustrations teach these important concepts in ways even very young children can understand. Created in response to requests from parents, preschool teachers, and childcare providers, this book belongs everywhere young children are. Includes tips for parents and caregivers.",14.0,BOOK,['Juvenile Nonfiction'],,,en
"Preschool Big Fun Workbook: 256-Page Preschool Activity Book Full of Preschool Math, Language Arts, Writing Practice, Shapes Practice, Puzzles and More (Highlights™ Big Fun Activity Workbooks)",Preschool Big Fun Workbook,['Highlights Learning'],Highlights Press,2017-04-04,"Over 1.7 million Highlights Big Fun Workbooks sold! Jumpstart learning with this award-winning preschool workbook from the kid experts at Highlights. Developed with teachers and aligned with curriculum standards, this pre-k workbook will get the littlest learners excited to start school! Jam-packed with 256 pages of puzzle-based, preschool activities — including ever-popular Hidden Pictures, mazes, matching games, dot-to-dots and scavenger hunts — there’s something for every learning style. Expertly crafted, age-appropriate activities mix and match skills and puzzle types to create a fresh approach to school readiness, helping kids build skills in: • Language Arts: uppercase and lowercase letters, sight words, handwriting, rhyming • Math: numbers, counting, patterns, adding, subtracting • Shapes, colors, opposites and sequencing In addition to imaginative puzzles, silly poems and colorful illustrations, this 256-page workbook also features: • Simple tips to help parents maximize learning • A Certificate of Achievement to celebrate kids’ hard work • Links to more online learning activities The Highlights Preschool Big Fun Workbook is the winner of the Family Choice Award, Play Advances Language (PAL) Award, PAL Top Ten Pick and the 2020 National Parenting Seal of Approval.",260.0,BOOK,['Juvenile Nonfiction'],,,en
Chloe and the Mermaid Club: A Mermaid Girls Chapter Book (Mermaid Girls Chapter Books),The Sighting,['Julie Kathleen Gilbert'],Capstone,2017-01-01,"In this eBook, India Finch, a part-human/part-mermaid teenager, normally only journeys underwater when she's called upon for her healing abilities. But bored and missing her mer friends, she decides to visit them without being summoned. She soon discovers that without a crisis, life underwater can be just as boring as life on land. To entertain themselves, the mermaids decide to combine all their powers together. This rush of energy creates an enormous tidal wave that threatens human life and puts the merfolk at risk when one of them is photographed. Can India keep the mer from being discovered?",161.0,BOOK,['Juvenile Fiction'],,,en
FOGGY GOES TO SPACE: A motivational adventure story for curious children and early readers.,A Trip Into Space: An Adventure to the International Space Station,['Lori Haskins Houran'],Weigl Publishers,2014-08-01,"AV2 Fiction Readalong by Weigl brings you timeless tales of mystery, suspense, adventure, and the lessons learned while growing up. These celebrated children’s stories are sure to entertain and educate while captivating even the most reluctant readers. Log on to www.av2books.com, and enter the unique book code found on page 2 of this book to unlock an extra dimension to these beloved tales. Hear the story come to life as you read along in your own book.",26.0,BOOK,['Juvenile Fiction'],,,en
Emma and the Mermaid Club: A Mermaid Girls Chapter Book (Mermaid Girls Chapter Books),The Sighting,['Julie Kathleen Gilbert'],Capstone,2017-01-01,"In this eBook, India Finch, a part-human/part-mermaid teenager, normally only journeys underwater when she's called upon for her healing abilities. But bored and missing her mer friends, she decides to visit them without being summoned. She soon discovers that without a crisis, life underwater can be just as boring as life on land. To entertain themselves, the mermaids decide to combine all their powers together. This rush of energy creates an enormous tidal wave that threatens human life and puts the merfolk at risk when one of them is photographed. Can India keep the mer from being discovered?",161.0,BOOK,['Juvenile Fiction'],,,en
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2) (2)",Harry Potter and the Chamber of Secrets,['J.K. Rowling'],Pottermore Publishing,2015-12-08,"'There is a plot, Harry Potter. A plot to make most terrible things happen at Hogwarts School of Witchcraft and Wizardry this year.' Harry Potter's summer has included the worst birthday ever, doomy warnings from a house-elf called Dobby, and rescue from the Dursleys by his friend Ron Weasley in a magical flying car! Back at Hogwarts School of Witchcraft and Wizardry for his second year, Harry hears strange whispers echo through empty corridors - and then the attacks start. Students are found as though turned to stone... Dobby's sinister predictions seem to be coming true. Having become classics of our time, the Harry Potter eBooks never fail to bring comfort and escapism. With their message of hope, belonging and the enduring power of truth and love, the story of the Boy Who Lived continues to delight generations of new readers.",343.0,BOOK,['Juvenile Fiction'],4.5,123.0,en
Psalm 23: A Colors Primer (Baby Believer),Holy Week,['Danielle Hitchen'],Harvest House Publishers,2019-01-08,"Emotions are Good and Made by God Your family will love this unique board book! Using colorful, engaging artwork, Holy Week introduces little ones to a wide range of emotions as they follow Jesus through the final week of His life. Children will delight in the beautiful illustrations and learn about basic emotions, such as joy, anger, sadness, fear, and more. And they will become familiar with one of the final chapters in Jesus's story here on earth. You will appreciate the artistic design, theologically sound content, and helping your little one understand that emotions are created by God and that they are good. *** Baby Believer® primers are designed to grow with children, from early infancy through elementary school. In addition to basic Bible theology, Baby Believer® board books are filled with quotations from the Bible, creeds, hymns, church fathers, and other articles of faith to help reinforce the content and provide intellectual handholds for older children who possess a greater capacity for learning and memorization.",21.0,BOOK,['Juvenile Nonfiction'],5.0,3.0,en
From Head to Toe/De la cabeza a los pies Board Book: Bilingual English-Spanish,From Head to Toe/de la Cabeza a Los Pies Board Book,['Eric Carle'],HarperFestival,2020-06-23,"From Eric Carle, the New York Times bestselling creator of beloved books including The Very Hungry Caterpillar and The Grouchy Ladybug, comes From Head to Toe / De la cabeza a los pies, a colorful and energetic bilingual board book that will have young readers clapping their hands, stomping their feet, and wiggling their toes! Giraffes can bend their necks, monkeys can wave their hands, and donkeys can kick their legs. And so can you! Throughout this interactive book, the animals of From Head to Toe invite young readers to copy their antics as they play. Through Carle's vibrant collages and simple instructions, children will learn the importance of listening, exercising, and taking on a new challenge. Join the giraffes, monkeys, donkeys, seals, and more for a frolicking, fun adventure! And this edition features English and Spanish text that's perfect for beginning readers!",28.0,BOOK,['Juvenile Fiction'],,,en
Mighty Pup Power! (PAW Patrol) (Little Golden Book),Mighty Pup Power! (PAW Patrol),['Hollis James'],Golden Books,2018-10-30,"This all-new Little Golden Book stars the characters from Nickelodeon's PAW Patrol! Nickelodeon's PAW Patrol become super pups after a mysterious meteorite crashes near Adventure Bay. But can Marshall, Chase, Skye, and the rest of the team stop Mayor Humdinger from getting powers and using them for his own sneaky purposes? Girls and boys ages 3 to 7 will find out in this all-new Little Golden Book.",0.0,BOOK,['Juvenile Fiction'],,,en
The Magic School Bus Lost in the Solar System,The Magic School Bus Lost in the Solar System,['Joanna Cole'],Scholastic,2010,"Aboard the magic school bus, Ms. Frizzle takes her students on a wild field trip through the Milky Way. But when an asteroid breaks a taillight near Mars, Ms. Frizzle goes outside to investigate and gets lost. All alone, the students must navigate themselves through space.",0.0,BOOK,['Juvenile Fiction'],,,en
"Phonics Workbook for Kindergarten, Sight Words, Tracing Letters, Consonant and Vowel Sounds, Writing Practice With Incentive Chart and Reward ... Curriculum (Home Workbooks) (Volume 12)",My Phonics Workbook,['Laurin Brainard'],Rockridge Press,2019-06-18,"The biggest collection of games and activities to have a BLAST learning phonics Building phonics skills is the first step to reading success--and now it's F-U-N too! My Phonics Workbook helps new readers ages 4-6 become phonics all-stars with extra fun and educational games. Watch kids learn the alphabet from A-Z and connect letters to sounds and words. With mazes, puzzles, word searches, and more, this workbook is play-packed with ""aha"" moments that pave the way to becoming a stellar reader. My Phonics Workbook teaches: Letters A-Z--Start off with the building blocks of individual vowel and consonant sounds. Sounds to words--Cumulative lessons allow new readers to progress from letter sounds to word blends. 101 Awesome activities--Coloring, tracing, mazes, puzzles, word searches and more keep kids motivated to learn from beginning to end. The best lessons leave the biggest smiles--this phonics workbook makes sure of that on every page.",98.0,BOOK,['Education'],,,en
How a House Is Built (New & Updated),How a House Is Built (New & Updated),['Gail Gibbons'],Holiday House,2020-03-27,"Houses are built with many different materials, and in many shapes and sizes. Step by step, this picture book explains how homes are built—from the architect's plans through the arrival of a happy family. The many processes of construction are explained with simple language and bright, clear illustrations, perfect for kids starting to wonder about how the world around them works. Many different careers—including carpenters, plumbers, electricians, and landscapers—are introduced, each doing their part to bring the picture wood-frame house to life. A great read for kids who love construction sites, or who can't get enough of Building a House by Byron Barton. According to The Washington Post, Gail Gibbons ""has taught more preschoolers and early readers about the world than any other children's writer-illustrator."" Ms. Gibbons is the author of more than 100 books for young readers, including the bestselling titles From Seed to Plant and Monarch Butterfly. Her many honors include the Washington Post/Childrens Book Fuild Nonfiction Award and the NSTA Outstanding Science Trade Book Award.",35.0,BOOK,['Juvenile Nonfiction'],,,en
The Big Umbrella,The Big Umbrella,['John Lucas'],,1975,"In this book, John Lucas charts the fascinating 500-year history of the parachute. ""This book is a timely tribute to the ""big umbrella"" coming as it does at the end of the Apollo Project in which it played, as ever, a leading role in the safe return of man to earth.""--[book jacket].",159.0,BOOK,['Parachutes'],,,en
There Was an Old Lady Who Swallowed a Chick!,There Was an Old Lady Who Swallowed a Chick!,['Lucille Colandro'],Turtleback Books,2010,"An old lady swallows a chick, straw, egg, candy, basket, bow, and out comes an Easter basket.",0.0,BOOK,['Chicks'],,,en
Hold On to Your Kids: Why Parents Need to Matter More Than Peers,Hold On to Your Kids,"['Gordon Neufeld', 'Gabor Maté, MD']",Vintage Canada,2013-08-13,"NATIONAL BESTSELLER This parenting classic on one of the most disturbing and misunderstood trends of our time—peers replacing parents in the lives of children—is now more relevant than ever. The latest edition includes new material on how social media and video game culture are affecting our children, and what parents can do. In Hold On to Your Kids, Dr. Neufeld and Dr. Maté explore the phenomenon of peer orientation: the troubling tendency of children and youth to look to their peers for direction—for a sense of right and wrong, for values, identity and codes of behaviour. But peer orientation undermines family cohesion, poisons the school atmosphere, and fosters an aggressively hostile and sexualized youth culture. It provides a powerful explanation for schoolyard bullying and youth violence; it is an escalating trend that has never been adequately described or contested until Hold On to Your Kids. Once understood, it becomes self-evident—as do the solutions.",369.0,BOOK,['Family & Relationships'],,,en
Taylor Swift: A Little Golden Book Biography,Taylor Swift: A Little Golden Book Biography,['Wendy Loggia'],Golden Books,2023-05-02,"#1 NATIONAL BESTSELLER • NEW YORK TIMES BESTSELLER • Celebrate global superstar Taylor Swift with this collectible Little Golden Book, which tells her inspiring life story alongside gorgeous original illustrations! “A must-have for any Taylor Swift collection.”—Rolling Stone Taylor never lets anything hold her back from creating music she loves. With full-color illustrations on every page, Taylor Swift: A Little Golden Book Biography brings her story to life—from her childhood living on a Christmas tree farm, where she discovered her passion for songwriting, to her early days on Nashville’s Music Row and her rise as one of the biggest stars in pop music. When you’re Taylor Swift, the sky’s the limit! Little Golden Book biographies feature the iconic gold-foil design and share the life stories of extraordinary artists, world leaders, performers, and athletes including: • Beyoncé • Dolly Parton • Lady Gaga • Simone Biles • Misty Copeland",15.0,BOOK,['Juvenile Nonfiction'],,,en
Fancy Nancy and the Missing Easter Bunny: An Easter And Springtime Book For Kids,Fancy Nancy and the Missing Easter Bunny,[],Fancy Nancy,2017-01-24,"Fancy Nancy can t wait for Easter. And this year, the family is in for a treat. JoJo s class pet, Nibbles the bunny, is staying at the Clancys house for the weekend! Once the Easter baskets have been decorated and the eggs have been hidden, Bree and Freddy come over to begin the Easter egg hunt. But when Nibbles goes missing, it s up to Nancy to find her before anyone notices she s gone. This book comes complete with a fabulous set of stickers! """,0.0,BOOK,['Juvenile Fiction'],,,en
Rogerino Goes To Pecorino Park: A Dog's Adventure,Rogerino Goes to Pecorino Park,['Cee Tee Franklin'],,2023-12,"Follow Rogerino, a mischievous greyhound, as he tumbles through a mysterious portal behind the fridge into the enchanting Pecorino Park, a land where everything is crafted from cheese. Amidst the cheesy wonders and newfound friends, Rogerino embarks on an adventure that will change him forever. Discover the magic, laughter, and unexpected challenges he encounters in this captivating tale about the extraordinary journey of a dog in search of more than just cheese",0.0,BOOK,[],,,en
"Magical forest coloring book kids 4-8: Magical forest coloring book for kids 4-8, magical animals, gnomes, fairies",Forest Fairy - Magical Fairy Coloring Book For All Ages,['Cotonogu Ciprian'],Cotonogu Ciprian,,"✨ Discover the Magic of Relaxation with “Forest Fairy - Magical Fairy Coloring Book for All Ages” ✨ Feeling overwhelmed by the hustle and bustle of daily life? Need a moment just for yourself? Step into the enchanted world of the magical forest, where every page invites you to escape stress and rediscover the simple joy of coloring. This isn’t just a coloring book for kids! With detailed illustrations of graceful fairies, mystical creatures, and whimsical forest landscapes, it’s perfect for adults, teens, and children seeking a peaceful and creative outlet. Each page is designed to spark your imagination and promote a sense of calm and mindfulness. Imagine the stress of your day melting away as vibrant colors come to life under your fingertips. Feel your mind relax, your heart fill with joy, and your soul reconnect with nature and your inner magic. This is more than a coloring book—it’s a therapeutic experience that brings balance, harmony, and serenity. 🌿 Get your copy now of “Forest Fairy - Magical Fairy Coloring Book for All Ages” and let the magic of colors guide you to tranquility. Perfect for yourself or as a special gift for someone you love. Rediscover peace, one beautifully colored page at a time! ✨",56.0,BOOK,['Games & Activities'],,,en
"Sophie y El Loro: Baa, Moo, Quiquiriqui!: Let's Make Animal Noises:English and Spanish Sounds for Little Learners",,,,,,,,,,,
Kitchen Adventures: A Seek & Find Cookbook for Young Chefs: Ages 4-5 (Kids Seek and Find Ages 2-4),Glutenfreeology Kitchen Adventures,['Athena McCrary'],Athena McCrary,2022-10-27,"Gluten free soul food recipes that are fool proof, easy to make and taste absolutely delicious. Wow your taste buds by cooking childhood favorites that satisfy your sweet and savory cravings. Includes snacks, dinner, breakfast, dessert, internationally inspired meals and drink recipes that even your non-gluten free family and friends will devour! Includes 60 online video tutorials with step by step instructions on how to make gluten free comfort food that tastes absolutely amazing every single time. Side effects may include breaking out into a happy dance when you take your first bite, volunteering to bring dessert to every function, and the uncontrollable urge to go back for a second and third plate. Not responsible for food comas or faces being temporarily stuck in a dazed grin after trying these recipes",163.0,BOOK,['Cooking'],,,en
Mortimer Pickens and My Favourite Things,,,,,,,,,,,
The Trouble with Children (According to Cat),The Trouble with Children (According to Cat),['Katie Weaver'],,2025-03,"The family cat has a LOT to get off her chest. Because, well, living with children can be...challenging. Between attempted-bathing incidents and the children stealing her yarn, this feline has had ENOUGH!!! Will Cat find that there are sweet moments to be cherished amidst the chaos? A heartwarming and hilarious story celebrating the bond between our furry friends and their humans that's sure to leave you with the ""warm and fuzzies"". (And a new appreciation for your four-legged family member.) From award-winning team of Katie Weaver and Caner Soylu who created The Trouble with Children (According to Dog), Uh-OH! My Dragon's Hungry, and Uh-OH! My Dragon's Smelly, this is the perfect gift for any cat lover (and ideal for children ages 3-8).",0.0,BOOK,['Juvenile Fiction'],,,en
Abuela (English Edition with Spanish Phrases) (Picture Puffins),Abuela,['Arthur Dorros'],Turtleback,1997-05-01,"While riding on a bus with her grandmother, a little girl imagines that they are carried up into the sky and fly over the sights of New York City.",,BOOK,['Juvenile Fiction'],,,en
"Snakes (National Geographic Kids Readers, Level 2)",National Geographic Readers: Snakes,['Melissa Stewart'],National Geographic Society,2011-07-05,"They’re SSSSLITHERY! SLIPPERY! They creep us out! But get to know them and you’ll find snakes private, quiet types who just want a cool, shady place to call home. From the tip of their forked tongues, to skin that sheds, to the rattles on certain tails, these creatures have secrets all kids will love. Cool photos and fun facts slip us inside their surprising world. National Geographic supports K-12 educators with ELA Common Core Resources. Visit www.natgeoed.org/commoncore for more information.",36.0,BOOK,['Juvenile Nonfiction'],,,en
Princesses Wear Pants,Princesses Wear Pants,['Rebecca Thomas'],Austin Macauley Publishers,2023-07-21,"From her nose to her toes, Our little Princess grows. But as she gets bigger, Her mum needs to help her figure. That bottoms should be hidden By some pretty pants, maybe with a ribbon. But our princess is happy, Young, carefree and a little sassy. We won’t be too hard, And we love her spirit for disregard. So celebrate her carefree ways, And let’s embrace our little princess days.",29.0,BOOK,['Juvenile Fiction'],,,en
Julián Is a Mermaid,Julián Is a Mermaid,['Jessica Love'],Candlewick Press,2019-06-18,"In an exuberant picture book, a glimpse of costumed mermaids leaves one boy flooded with wonder and ready to dazzle the world. While riding the subway home from the pool with his abuela one day, Julián notices three women spectacularly dressed up. Their hair billows in brilliant hues, their dresses end in fishtails, and their joy fills the train car. When Julián gets home, daydreaming of the magic he’s seen, all he can think about is dressing up just like the ladies in his own fabulous mermaid costume: a butter-yellow curtain for his tail, the fronds of a potted fern for his headdress. But what will Abuela think about the mess he makes — and even more importantly, what will she think about how Julián sees himself? Mesmerizing and full of heart, Jessica Love’s author-illustrator debut is a jubilant picture of self-love and a radiant celebration of individuality.",41.0,BOOK,['Juvenile Fiction'],,,en
"A Frog Ate My Sandwich!: A fun filled, laugh out loud adventure (The Adventures of Walter the Frog)",A Frog Ate My Sandwich!,['Christine Durkin'],ISBN Services,2021-10-16,"What happens when two boys meet up with a sneaky, fun-loving frog?Chaos.Caden and Nate befriend a frog who secretly hops a ride with them to school. What could possibly go wrong?Everything!This fun filled, multi-ethnic adventure is full of surprises, life lessons, and most of all, laughter to the very end.",32.0,BOOK,[],,,en
My First Book of Numbers,My First Book of Numbers,['Flowerpot Press'],Flowerpot Press,2012,Pictures of objects that help children learn how to count.,0.0,BOOK,['Board books'],,,en
What to Do When You Feel Like Hitting: A No Hitting Book for Toddlers (Big Feelings Books for Toddlers),What to Do When You Feel Like Hitting,['Cara Goodwin PhD'],"Sourcebooks, Inc.",2021-06-15,"Teach toddlers safe ways to express big feelings Toddlers are still learning how to speak, socialize, and understand their emotions. It's common for them to react with their hands when they get frustrated—but hitting is never okay. What to Do When You Feel Like Hitting helps toddlers understand why hitting is not allowed and shows them how to react to their feelings with actions that are safe and kind. This illustrated entry into no hitting books for toddlers features: Alternatives to hitting—Kids will learn how to use ""gentle hands"" to squeeze a stuffed animal when they feel upset, scribble a picture to get out their frustration, and practice taking deep breaths to calm down. A light touch—The language is kid-friendly and positive, encouraging toddlers to understand and communicate their feelings, not just keep their hands to themselves. Engaging illustrations—Big, beautiful pictures help kids see the ideas in action and keep their attention on the page. Get the best in no hitting books for toddlers with a storybook that helps them learn empathy and compassion.",50.0,BOOK,['Family & Relationships'],,,en
"Giraffes (National Geographic Kids Readers, Level 1)",Giraffes,"['Laura F. Marsh', 'National Geographic Kids']",Collins,2017-10-02,National Geographic Primary Readers is a high-interest series of beginning reading books that have been developed in consultation with education experts. The books pair magnificent National Geographic photographs with lively text by skilled children's book authors across four reading levels.,0.0,BOOK,['Education'],,,en
